#SNPs per gene	 # genes in bin	 mean of the bin 	 sd of the bin 
[345]	3	4.65507153375	1.31706490865
[346]	4	6.38020696738	2.90240420326
[347]	2	5.85393918511	1.67217071797
[348]	4	8.43613032485	1.4800686109
[350]	4	4.52996650441	1.75348674275
[351]	2	5.85749934703	2.92853432081
[352]	4	6.03025176589	3.23667931574
[353]	3	9.92671600103	2.44035036647
[354]	1	3.66473999899	0.0
[355]	1	2.5828036727	0.0
[356]	2	13.5469881682	4.92265191173
[357]	2	9.65537162767	3.66653469063
[358]	3	6.97459043423	3.42044440889
[359]	1	2.95164849727	0.0
[360]	4	4.43378414153	0.352371449912
[361]	1	3.11491930872	0.0
[362]	3	6.80839130264	2.69981208861
[364]	1	19.9165088184	0.0
[365]	1	4.36773221758	0.0
[366]	2	7.76865903269	2.35652055591
[367]	5	6.8617333804	3.76507570079
[369]	7	8.02693460083	5.33593621571
[370]	3	12.3998294748	5.19261342397
[371]	1	2.78009409603	0.0
[372]	1	7.6259084824	0.0
[373]	2	6.35975696268	1.76465122255
[374]	3	7.65611882504	1.42849209385
[375]	1	3.77485045981	0.0
[377]	2	7.6867249564	1.18710839388
[378]	1	15.8571000931	0.0
[379]	4	5.92027170447	2.47238678086
[380]	1	22.7194719571	0.0
[382]	3	6.07020429957	3.41063342722
[383]	1	4.72242677032	0.0
[384]	3	5.42239541551	1.30290176505
[385]	1	8.36971958735	0.0
[386]	1	4.05467595867	0.0
[387]	2	4.71896731289	0.00661400404
[389]	3	6.27593008668	1.38725445265
[390]	2	8.68355609087	0.52184506919
[391]	5	5.02487394038	1.70899724817
[392]	1	4.96799811052	0.0
[393]	3	9.48551342284	5.59834958969
[394]	1	10.9057267445	0.0
[395]	1	6.49868397009	0.0
[396]	4	8.1442108193	3.64147129284
[397]	2	16.4648531926	7.57824285268
[398]	5	6.67118146457	2.99053360078
[400]	3	13.6765744756	3.56539604253
[402]	1	3.03738761094	0.0
[403]	1	18.8713244664	0.0
[404]	1	14.5983025832	0.0
[406]	3	6.71627380762	2.44221837982
[409]	4	6.25438197985	1.68055651326
[410]	2	11.0603640826	1.54804920711
[411]	1	3.02309790212	0.0
[412]	1	17.6975766318	0.0
[414]	1	9.54424293258	0.0
[416]	3	10.5947138399	4.86085602273
[417]	3	8.03517740877	2.53864801609
[418]	2	6.12481274345	0.135975806405
[419]	3	12.2701925282	1.44835751834
[420]	2	3.9121748026	1.18797901431
[422]	2	4.49372795087	0.200030317055
[423]	2	8.57202285639	1.74592492152
[424]	3	8.71895974394	1.8654348365
[425]	2	8.3192619042	3.2622298357
[426]	1	8.47335311413	0.0
[429]	1	3.75597869672	0.0
[430]	1	8.52215476789	0.0
[432]	4	9.3441300938	5.85418787047
[433]	1	6.44710648745	0.0
[434]	4	10.884489717	3.83339880961
[435]	1	11.2265901835	0.0
[436]	2	5.39404760385	2.02173708824
[437]	3	8.04180310427	3.83735773527
[438]	3	6.17931718342	1.53168013069
[439]	1	5.08642572929	0.0
[441]	1	6.59491184365	0.0
[443]	4	7.08577812467	4.29548454288
[444]	1	3.70993608775	0.0
[445]	4	7.46427325818	4.14423228344
[446]	1	12.9320977455	0.0
[447]	1	6.67264365933	0.0
[448]	1	5.1569890207	0.0
[449]	1	15.8571000931	0.0
[451]	1	6.28238191632	0.0
[453]	1	6.17568723128	0.0
[454]	1	4.04827390746	0.0
[456]	1	7.67793526199	0.0
[457]	3	4.76334076647	1.12525888809
[458]	1	4.04465112801	0.0
[459]	2	10.0037082412	5.822238875
[460]	1	10.3910988304	0.0
[461]	3	7.91057310456	2.69981230321
[462]	2	7.52462042342	2.71176962888
[464]	3	10.8339552861	2.41153879852
[465]	1	10.0689146133	0.0
[466]	1	11.8027885642	0.0
[467]	1	4.68191042779	0.0
[468]	1	13.6727022302	0.0
[470]	1	8.14524669839	0.0
[472]	1	5.85659946204	0.0
[473]	2	10.1247718215	4.34675327752
[474]	2	7.20751704906	2.28042389711
[476]	1	2.84893938606	0.0
[478]	2	5.74958630981	1.57326061907
[479]	2	10.0931361947	1.75538468807
[481]	4	6.27855794307	1.39317578344
[482]	4	12.4976898872	4.75310025711
[483]	1	6.29427193184	0.0
[486]	2	8.10439983857	3.31823874623
[487]	4	6.06139925561	2.39863049128
[488]	3	8.12818689884	1.97674885095
[489]	2	9.98011348063	1.46884383517
[491]	1	6.17354919751	0.0
[492]	3	8.74567541126	4.79823578143
[493]	1	7.98725469577	0.0
[496]	2	10.0622418649	4.23661807096
[498]	1	8.21745569051	0.0
[502]	1	8.97403776008	0.0
[503]	1	4.77520840321	0.0
[504]	2	8.77415656313	2.74948216907
[505]	1	4.7224689457	0.0
[507]	2	9.73770637011	5.46720691919
[508]	2	6.23760306262	1.71101209523
[509]	1	9.32914330763	0.0
[510]	2	13.561975062	5.74876827944
[513]	1	3.46341106742	0.0
[514]	2	8.99777647644	2.71499948866
[515]	2	11.0142461605	2.84524611343
[516]	1	8.02437936274	0.0
[517]	2	21.6309612199	13.9713558965
[518]	3	8.64549854456	0.571815242958
[519]	1	15.4311256977	0.0
[521]	4	6.76456598561	2.17088437136
[523]	3	4.69900609076	1.96583086167
[524]	2	6.8241688414	1.34483120565
[526]	1	4.24326534198	0.0
[529]	1	10.5302388665	0.0
[530]	1	8.86011386986	0.0
[531]	1	9.16212319058	0.0
[532]	1	4.56669975798	0.0
[533]	1	5.26177247225	0.0
[534]	1	4.35461782483	0.0
[536]	2	11.221091245	7.14126369454
[539]	2	11.2070251087	1.18952917485
[540]	1	8.46928405025	0.0
[541]	1	16.6363565961	0.0
[542]	1	12.1044096992	0.0
[543]	1	7.4240570925	0.0
[544]	1	13.8611913393	0.0
[548]	1	6.56638148716	0.0
[549]	1	9.76884148698	0.0
[555]	1	13.3851530413	0.0
[556]	1	5.24097613447	0.0
[557]	1	16.040257459	0.0
[558]	1	10.0633048568	0.0
[560]	2	6.68657961136	0.672405596935
[562]	1	8.96311648732	0.0
[564]	1	17.4786201109	0.0
[566]	1	8.96311648732	0.0
[568]	1	4.73444718524	0.0
[570]	2	9.25506439669	5.60349559811
[571]	2	7.734549045	2.9475453057
[572]	2	8.70779445646	2.92735125824
[574]	2	8.13214758347	2.34817413343
[577]	2	10.5274387222	1.48931933876
[578]	1	18.1404254845	0.0
[580]	2	25.2547752587	7.7804432654
[581]	1	8.77102568638	0.0
[582]	2	10.3141410191	3.88375147684
[585]	1	23.2447155876	0.0
[586]	2	14.5100867416	8.70659770831
[587]	2	10.925610932	5.00263085772
[589]	3	7.57841010538	3.48506950764
[590]	1	13.8838093955	0.0
[591]	1	4.0065022017	0.0
[592]	2	16.2551726742	0.6975617075
[594]	2	10.0686718896	4.52589300776
[596]	2	8.27244894895	2.58817552555
[600]	1	4.98040154679	0.0
[601]	1	4.9076571855	0.0
[607]	1	4.27049945093	0.0
[609]	2	9.16603172979	2.40371158341
[611]	2	21.9549069049	18.3939037194
[612]	2	13.6412454184	3.70198439236
[613]	3	8.96948568765	2.63029541808
[614]	3	13.8542402909	5.268533726
[619]	2	12.1947388288	2.45366122527
[621]	1	6.5214010093	0.0
[622]	1	16.5099182364	0.0
[635]	1	8.22517378586	0.0
[638]	1	6.92464459385	0.0
[640]	1	9.25018496292	0.0
[641]	2	7.140957837	0.870242578815
[642]	2	8.46179598289	4.1769607745
[644]	1	19.6662000635	0.0
[646]	1	5.69166659615	0.0
[652]	2	9.20810791598	0.749398697845
[655]	3	16.4396407048	2.80425306762
[658]	1	10.648895007	0.0
[659]	1	9.0888735854	0.0
[662]	1	13.5425498545	0.0
[664]	1	9.96794889473	0.0
[668]	1	12.016758061	0.0
[670]	3	12.2484252959	4.99834360041
[671]	2	11.9659898723	5.63060597826
