Length	Score	ID	Pvalue	Qvalues
17	3.04023325995	187204	0.216	0.446280991736
17	2.24685714715	[105764, 105763, 105755]	0.26	0.476715002789
17	-2.81490524151	[105851, 105850]	0.705	0.613636363636
17	3.30112885064	[142264, 142255]	0.201	0.433616742969
18	-3.54841864406	82937	0.791	0.626458434614
18	-2.57032564898	82982	0.697	0.613636363636
18	4.82968278428	83120	0.135	0.374519846351
18	-3.50831699028	83124	0.789	0.626458434614
18	-0.400848050733	105887	0.5	0.586237872799
18	-2.67985860381	106021	0.708	0.613636363636
18	7.11828136379	106115	0.061	0.315830721003
18	-3.33429982082	106205	0.771	0.619009387352
18	-0.479981014781	106482	0.51	0.588600852273
18	0.583669806859	106566	0.399	0.553457106274
18	3.39323818519	142373	0.213	0.443181818182
18	12.9152970969	161037	0.007	0.147727272727
18	-1.14578257592	187096	0.562	0.602536997886
18	2.56044726079	187202	0.261	0.476715002789
18	-0.400848050733	[105887, 105886]	0.5	0.586237872799
19	-1.43536035469	83123	0.567	0.602536997886
19	-0.877291186591	105703	0.523	0.596569139673
19	0.973249992563	105832	0.357	0.526071185672
19	-3.31464567319	105846	0.741	0.613636363636
19	1.33030182884	105982	0.334	0.518772136954
19	0.00954620076477	106223	0.442	0.580404040404
19	-6.45445385095	106248	0.955	0.668496216562
19	-2.82045537302	106464	0.7	0.613636363636
19	1.80961189971	106554	0.294	0.49778588174
19	2.34886612276	161006	0.263	0.476715002789
19	4.15111078927	187171	0.168	0.411920030177
19	5.12742215928	187200	0.121	0.371840354767
19	-2.542309213	199556	0.669	0.613636363636
19	-3.31464567319	[105846, 105838]	0.741	0.613636363636
19	0.00954620076477	[106223, 106222]	0.442	0.580404040404
20	-7.12188938586	83008	0.975	0.669651322027
20	4.71797915693	105919	0.126	0.371840354767
20	-6.32219734812	106142	0.953	0.668496216562
20	5.17042375116	106231	0.111	0.366429659726
20	-0.392333300006	106332	0.467	0.582345191041
20	-4.28791121345	161004	0.819	0.632565867553
20	3.48547287482	187223	0.18	0.416579588993
21	2.43103743831	82988	0.26	0.476715002789
21	-6.26243829922	83022	0.954	0.668496216562
21	7.43255104171	83034	0.062	0.315830721003
21	-2.83000168339	105861	0.707	0.613636363636
21	-0.120247870908	105908	0.475	0.582345191041
21	-1.25628842309	106005	0.58	0.607496012759
21	-6.61391098171	106136	0.964	0.668496216562
21	-2.4467510669	106146	0.672	0.613636363636
21	1.30503080501	106236	0.357	0.526071185672
21	-6.52390634702	106245	0.964	0.668496216562
21	-0.764639374762	106481	0.537	0.598684210526
21	-3.03797195317	106543	0.726	0.613636363636
21	1.43131861188	106556	0.345	0.522727272727
21	8.54200156438	119554	0.044	0.302325581395
21	3.05690994656	119556	0.225	0.449170761671
21	-3.99788764616	144182	0.803	0.62905737214
21	4.28268678947	160994	0.163	0.404698242934
21	-6.51625273187	187199	0.963	0.668496216562
